,Fold selected features,Fold nb of features
Fold 41,"['Unnamed: 0', 'Sex', 'tls_presence', 'Age.at.Dx', 'Whipple_Surgery', 'Distal_Surgery', 'ARID1A', 'AHNAK', 'KDM6A', 'snv_count', 'TP53', 'PLXNB2', 'SMAD4', 'FAT3', 'PXDN', 'PDZRN3', 'RNF43', 'KMT2C', 'ZFHX4', 'GNAS', 'TGFBR2', 'CDKN2A', 'LRP1B', 'KRAS', 'HMCN1', 'ATP10A', 'KMT2D', 'CSMD1', 'TENM4', 'ATM', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFlow_Classical', 'TFhigh_Classical', 'PDPN_high_endothelial_cells', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Vascular_smooth_muscle_cells', 'YAP_Col1A2_high_CD105pos_iCAFs', 'CD34pos_CAFs', 'CCL21_high_lymphatic_endothelial_cells', 'CD36_high_pericytes', 'Basal', 'Arg1pos_TAMs', 'Stiff matrix', 'Immune infiltrated stroma', 'Neoadj CD105 CAF high', 'CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'ESM1_caf', 'KRT20_ep', 'CLEC9A_im', 'Fibronectin_caf', 'TP63_ep', 'INS_ep', 'ANXA2_ep', 'PRSS1_ep', 'KRT5_ep', 'iNOS_im', 'PDPN', 'CD79A_im', 'S100A2_ep', 'REG4_ep']",71
Fold 42,"['KDM6A', 'SMAD4', 'FAT3', 'PXDN', 'KRAS', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'CD34pos_CAFs', 'ECM-rich', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'ANXA2_ep', 'iNOS_im', 'CD79A_im', 'S100A2_ep']",24
Fold 43,"['Sex', 'tls_presence', 'KDM6A', 'PXDN', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Arg1pos_TAMs', 'Deletion 22q13.33', 'ploidy', 'CEACAM6_ep', 'PDGFRab_caf', 'Fibronectin_caf', 'ANXA2_ep', 'CD79A_im']",19
Fold 44,"['Sex', 'tls_presence', 'ARID1A', 'KDM6A', 'SMAD4', 'CDKN2A', 'KMT2D', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'YAP_pMLC2_ECM_high_iCAFs', 'Arg1pos_TAMs', 'ECM-rich', 'Deletion 22q13.33', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'TP63_ep', 'ANXA2_ep', 'S100A2_ep']",22
Fold 45,"['Sex', 'tls_presence', 'Age.at.Dx', 'ARID1A', 'AHNAK', 'SMAD4', 'ZFHX4', 'HMCN1', 'KMT2D', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'PDPN_high_endothelial_cells', 'CTGFpos_Fibronectinpos_CAFs', 'Arg1pos_TAMs', 'Immune infiltrated stroma', 'Deletion 22q13.33', 'ploidy', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'CD79A_im', 'S100A2_ep']",25
Fold 46,"['Tenascin_high_myCAFs', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf']",5
Fold 47,"['Unnamed: 0', 'Sex', 'tls_presence', 'ARID1A', 'AHNAK', 'KDM6A', 'SMAD4', 'RNF43', 'ZFHX4', 'TGFBR2', 'HMCN1', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'Vascular_smooth_muscle_cells', 'YAP_Col1A2_high_CD105pos_iCAFs', 'CCL21_high_lymphatic_endothelial_cells', 'Arg1pos_TAMs', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'ESM1_caf', 'KRT20_ep', 'Fibronectin_caf', 'ANXA2_ep', 'KRT5_ep', 'iNOS_im', 'CD79A_im']",35
Fold 48,"['S100A4pos_NonnegBasal', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf', 'iNOS_im']",6
Fold 49,"['PLXNB2', 'SMAD4', 'FAT3', 'pMLC2_YAPpos_muralneglike_myCAFs', 'Nonnegpolarized', 'TFhigh_Classical', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf', 'Fibronectin_caf']",10
Fold 50,"['pMLC2_YAPpos_muralneglike_myCAFs', 'TFhigh_Classical', 'CEACAM6_ep', 'Fibronectin_caf']",4
Fold 51,"['ARID1A', 'TFhigh_Classical', 'ECM-rich', 'CEACAM6_ep', 'PDGFRab_caf', 'Fibronectin_caf']",6
Fold 52,"['ARID1A', 'KDM6A', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 1p36.11']",6
Fold 53,"['KDM6A', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf']",8
Fold 54,"['TAMs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'PDGFRab_caf']",4
Fold 55,"['TAMs', 'ECM-rich', 'CEACAM6_ep']",3
Fold 56,"['Sex', 'Age.at.Dx', 'AHNAK', 'KDM6A', 'PLXNB2', 'SMAD4', 'FAT3', 'PXDN', 'KMT2C', 'ZFHX4', 'TGFBR2', 'LRP1B', 'CSMD1', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'Vascular_smooth_muscle_cells', 'CCL21_high_lymphatic_endothelial_cells', 'ECM-rich', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'ANXA2_ep', 'iNOS_im']",32
Fold 57,"['SMAD4', 'FAT3', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'iNOS_im', 'S100A2_ep']",11
Fold 58,"['CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'CEACAM6_ep']",3
Fold 59,"['Sex', 'tls_presence', 'ARID1A', 'KDM6A', 'SMAD4', 'ZFHX4', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'Fibronectin_caf', 'ANXA2_ep', 'iNOS_im', 'S100A2_ep']",21
Fold 60,"['TFhigh_Classical', 'CEACAM6_ep', 'Fibronectin_caf']",3
