"TiffName","Sample","SampleName"
"PDAC2_s0_a76_ac_full.tiff","PDAC2_Sector3Row4Column8_Punch2_Case31_ID_1_57450","PDAC2_76"
"PDAC2_s0_a77_ac_full.tiff","PDAC2_Sector3Row4Column4_Punch2_Case27_ID_1_5121","PDAC2_77"
"PDAC2_s0_a78_ac_full.tiff","PDAC2_Sector3Row4Column5_Punch2_Case28_ID_1_52582","PDAC2_78"
"PDAC2_s0_a79_ac_full.tiff","PDAC2_Sector2Row4Column6_Punch1_Case164_ID_GSDM_969","PDAC2_79"
"PDAC2_s0_a80_ac_full.tiff","PDAC2_Sector2Row1Column8_Punch1_Case142_ID_GSDM_2503","PDAC2_80"
"PDAC2_s0_a81_ac_full.tiff","PDAC2_Sector3Row1Column2_Punch2_Case1_ID_1_100070","PDAC2_81"
"PDAC2_s0_a82_ac_full.tiff","PDAC2_Sector2Row3Column7_Punch1_Case157_ID_GSDM_606","PDAC2_82"
"PDAC2_s0_a83_ac_full.tiff","PDAC2_Sector3Row2Column1_Punch2_Case8_ID_1_112577","PDAC2_83"
"PDAC2_s0_a84_ac_full.tiff","PDAC2_Sector1Row3Column7_Punch1_Case125_ID_GSDM_1812","PDAC2_84"
"PDAC2_s0_a85_ac_full.tiff","PDAC2_Sector1Row2Column7_Punch1_Case117_ID_GSDM_1470","PDAC2_85"
"PDAC2_s0_a86_ac_full.tiff","PDAC2_Sector1Row2Column4_Punch1_Case114_ID_GSDM_1288","PDAC2_86"
"PDAC2_s0_a87_ac_full.tiff","PDAC2_Sector2Row3Column2_Punch1_Case152_ID_GSDM_283","PDAC2_87"
"PDAC2_s0_a88_ac_full.tiff","PDAC2_Sector4Row1Column5_Punch2_Case36_ID_1_69515","PDAC2_88"
"PDAC2_s0_a89_ac_full.tiff","PDAC2_Sector2Row1Column2_Punch1_Case136_ID_GSDM_2185","PDAC2_89"
"PDAC2_s0_a90_ac_full.tiff","PDAC2_Sector2Row2Column4_Punch1_Case146_ID_GSDM_2546","PDAC2_90"
"PDAC2_s0_a91_ac_full.tiff","PDAC2_Sector4Row3Column6_Punch2_Case53_ID_1_85810","PDAC2_91"
"PDAC2_s0_a92_ac_full.tiff","PDAC2_Sector4Row3Column1_Punch2_Case48_ID_1_73579","PDAC2_92"
"PDAC2_s0_a93_ac_full.tiff","PDAC2_Sector2Row1Column6_Punch1_Case140_ID_GSDM_2417","PDAC2_93"
"PDAC2_s0_a94_ac_full.tiff","PDAC2_Sector4Row3Column2_Punch2_Case49_ID_1_76312","PDAC2_94"
"PDAC2_s0_a95_ac_full.tiff","PDAC2_Sector3Row1Column4_Punch2_Case3_ID_1_103356","PDAC2_95"
"PDAC2_s0_a96_ac_full.tiff","PDAC2_Sector2Row3Column5_Punch1_Case155_ID_GSDM_567","PDAC2_96"
"PDAC2_s0_a97_ac_full.tiff","PDAC2_Sector3Row2Column7_Punch2_Case14_ID_1_4045","PDAC2_97"
"PDAC2_s0_a98_ac_full.tiff","PDAC2_Sector2Row3Column4_Punch1_Case154_ID_GSDM_555","PDAC2_98"
"PDAC2_s0_a99_ac_full.tiff","PDAC2_Sector4Row2Column6_Punch2_Case45_ID_1_71273","PDAC2_99"
"PDAC2_s0_a100_ac_full.tiff","PDAC2_Sector3Row3Column1_Punch2_Case16_ID_1_42221","PDAC2_100"
"PDAC2_s0_a101_ac_full.tiff","PDAC2_Sector4Row1Column3_Punch2_Case34_ID_1_67299","PDAC2_101"
"PDAC2_s0_a102_ac_full.tiff","PDAC2_Sector2Row3Column3_Punch1_Case153_ID_GSDM_347","PDAC2_102"
"PDAC2_s0_a103_ac_full.tiff","PDAC2_Sector2Row2Column8_Punch1_Case150_ID_GSDM_2683","PDAC2_103"
"PDAC2_s0_a104_ac_full.tiff","PDAC2_Sector1Row4Column1_Punch1_Case127_ID_GSDM_1885","PDAC2_104"
"PDAC2_s0_a105_ac_full.tiff","PDAC2_Sector4Row2Column8_Punch2_Case47_ID_1_72749","PDAC2_105"
"PDAC2_s0_a106_ac_full.tiff","PDAC2_Sector4Row3Column8_Punch2_Case55_ID_1_89880","PDAC2_106"
"PDAC2_s0_a107_ac_full.tiff","PDAC2_Sector3Row1Column7_Punch2_Case6_ID_1_106476","PDAC2_107"
"PDAC2_s0_a108_ac_full.tiff","PDAC2_Sector2Row1Column7_Punch1_Case141_ID_GSDM_2487","PDAC2_108"
"PDAC2_s0_a109_ac_full.tiff","PDAC2_Sector2Row1Column4_Punch1_Case138_ID_GSDM_2310","PDAC2_109"
"PDAC2_s0_a110_ac_full.tiff","PDAC2_Sector1Row3Column5_Punch1_Case123_ID_GSDM_1747","PDAC2_110"
"PDAC2_s0_a111_ac_full.tiff","PDAC2_Sector2Row2Column7_Punch1_Case149_ID_GSDM_2663","PDAC2_111"
"PDAC7_s0_a1_ac_full.tiff","PDAC7_Sector1Row4Column1_Punch1_Case194_ID_1_85948","PDAC7_1"
